"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[제네시스] 더 올뉴G80 가솔린 2.5 AWD 기본형",2241,254모4097,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801522%2FA250801522_02_03.jpg%3F20250818160727&type=m&w=800&h=500&quality=90&ttype=jpg,151407,2500,"[제네시스] 더 올뉴G80 가솔린 2.5 AWD 기본형",A/T,2021,"현대 경매장",KMTGB41CDMU068647,"A / 6"
"[기아] K3 1.6 GDI 디럭스",2242,21버0761,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801376%2FA250801376_02_03.jpg%3F20250818140836&type=m&w=800&h=500&quality=90&ttype=jpg,79191,505,"[기아] K3 1.6 GDI 디럭스",A/T,2015,"현대 경매장",KNAFJ412BFA937405,"A / 2"
"[기아] K5 2.0 CVVT 프레스티지",2243,32저9976,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801485%2FA250801485_02_03.jpg%3F20250818104537&type=m&w=800&h=500&quality=90&ttype=jpg,160508,390,"[기아] K5 2.0 CVVT 프레스티지",A/T,2012,"현대 경매장",KNAGN411BCA231377,"A / 1"
"[기아] 셀토스 1.6 가솔린 2WD 시그니처",3001,158누8315,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2508%2FB250801193%2FB250801193_02_03.jpg%3F20250818125331&type=m&w=800&h=500&quality=90&ttype=jpg,88829,1530,"[기아] 셀토스 1.6 가솔린 2WD 시그니처",A/T,2022,"현대 경매장",KNAET812GNK225867,"B / 1"
"[기아] 디 올뉴스포티지 하이브리드 1.6 HEV 시그니처",3002,391누6482,,하이브리드,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2508%2FB250801286%2FB250801286_02_03.jpg%3F20250812170207&type=m&w=800&h=500&quality=90&ttype=jpg,34294,2780,"[기아] 디 올뉴스포티지 하이브리드 1.6 HEV 시그니처",A/T,2023,"현대 경매장",KNAPX81GBPK095930,"A / 3"
"[르노(삼성)] QM6 2.0 GDe 2WD LE",3003,257가8982,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2508%2FB250800829%2FB250800829_02_03.jpg%3F20250818093946&type=m&w=800&h=500&quality=90&ttype=jpg,165264,720,"[르노(삼성)] QM6 2.0 GDe 2WD LE",A/T,2018,"현대 경매장",KNME5C2B3JP000980,"A / 4"
"[기아] 디 올뉴스포티지 2.0 디젤 2WD 프레스티지",3004,391누6480,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2508%2FB250801288%2FB250801288_02_03.jpg%3F20250812164758&type=m&w=800&h=500&quality=90&ttype=jpg,32682,1870,"[기아] 디 올뉴스포티지 2.0 디젤 2WD 프레스티지",A/T,2023,"현대 경매장",KNAPV81CBPK206224,"F / 1"
"[기아] 모하비 더 마스터 3.0 디젤 4WD 마스터즈",3005,391누6487,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2508%2FB250801284%2FB250801284_02_03.jpg%3F20250813092408&type=m&w=800&h=500&quality=90&ttype=jpg,78048,3480,"[기아] 모하비 더 마스터 3.0 디젤 4WD 마스터즈",A/T,2022,"현대 경매장",KNAKN814DNA242279,"A / 3"
"[현대] 싼타페(DM) 디젤 R2.2 4WD 익스클루시브",3006,47부1742,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2508%2FB250800948%2FB250800948_02_03.jpg%3F20250818101001&type=m&w=800&h=500&quality=90&ttype=jpg,204740,860,"[현대] 싼타페(DM) 디젤 R2.2 4WD 익스클루시브",A/T,2013,"현대 경매장",KMHSW81XDDU057699,"A / 4"
"[기아] 올 뉴카니발 9인승 디젤 럭셔리",3007,154고5625,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2508%2FB250801112%2FB250801112_02_03.jpg%3F20250818134102&type=m&w=800&h=500&quality=90&ttype=jpg,160002,795,"[기아] 올 뉴카니발 9인승 디젤 럭셔리",A/T,2018,"현대 경매장",KNAMB81ABJS364628,"A / 2"
